Date,Maha_Lord,Antar_Lord,Prayant_Lord,Maha_House,Antar_House,Prayant_House,Auspiciousness,Inauspiciousness,House_Score,Sign_Bonus,Benefic_Bonus,Active_Status,Entity,Birth_Date,Lord_Positions
2020-09-30,Jupiter,Rahu,Rahu,2,7,7,8.7,1.9,6.5,2.0,0.2,Active,Palantir Technologies Inc.,2020-09-30,"{'Jupiter': 'Capricorn 2H', 'Rahu': 'Gemini 7H'}"
2027-02-24,Saturn,Mercury,Venus,5,3,2,7.75,2.55,7.35,0.0,0.4,Active,Palantir Technologies Inc.,2020-09-30,"{'Saturn': 'Aries 5H', 'Mercury': 'Aquarius 3H', 'Venus': 'Capricorn 2H'}"
2031-11-29,Saturn,Venus,Jupiter,7,11,1,8.65,1.65,7.75,0.5,0.4,Active,Palantir Technologies Inc.,2020-09-30,"{'Saturn': 'Gemini 7H', 'Venus': 'Libra 11H', 'Jupiter': 'Capricorn 1H'}"
2035-07-22,Saturn,Moon,Mars,9,3,4,8.1,2.5,7.9,0.0,0.2,Active,Palantir Technologies Inc.,2020-09-30,"{'Saturn': 'Leo 9H', 'Moon': 'Aquarius 3H', 'Mars': 'Pisces 4H'}"
2040-07-10,Saturn,Jupiter,Mercury,11,10,7,9.45,1.0,8.05,1.0,0.4,Active,Palantir Technologies Inc.,2020-09-30,"{'Saturn': 'Libra 11H', 'Jupiter': 'Virgo 10H', 'Mercury': 'Cancer 7H'}"
2045-02-23,Mercury,Ketu,Rahu,4,9,3,7.9,2.7,7.7,0.0,0.2,Active,Palantir Technologies Inc.,2020-09-30,"{'Mercury': 'Pisces 4H', 'Ketu': 'Virgo 9H', 'Rahu': 'Pisces 3H'}"
2049-03-17,Mercury,Sun,Moon,4,4,9,8.3,2.0,7.9,0.0,0.4,Active,Palantir Technologies Inc.,2020-09-30,"{'Mercury': 'Pisces 4H', 'Sun': 'Pisces 4H', 'Moon': 'Leo 9H'}"
2052-09-04,Mercury,Rahu,Saturn,10,11,3,9.35,1.25,7.65,1.5,0.2,Active,Palantir Technologies Inc.,2020-09-30,"{'Mercury': 'Virgo 10H', 'Rahu': 'Libra 11H', 'Saturn': 'Aquarius 3H'}"
2058-01-19,Mercury,Saturn,Moon,2,5,12,6.8,3.5,6.4,0.0,0.4,Active,Palantir Technologies Inc.,2020-09-30,"{'Mercury': 'Capricorn 2H', 'Saturn': 'Aries 5H', 'Moon': 'Scorpio 12H'}"
2060-10-11,Ketu,Venus,Sun,11,10,11,8.55,2.05,8.35,0.0,0.2,Active,Palantir Technologies Inc.,2020-09-30,"{'Ketu': 'Libra 11H', 'Venus': 'Virgo 10H', 'Sun': 'Libra 11H'}"
2061-11-01,Ketu,Mars,Jupiter,11,1,9,9.9,1.0,8.7,1.0,0.2,Active,Palantir Technologies Inc.,2020-09-30,"{'Ketu': 'Libra 11H', 'Mars': 'Capricorn 1H', 'Jupiter': 'Leo 9H'}"
2063-10-12,Ketu,Jupiter,Sun,9,10,11,9.05,1.55,8.85,0.0,0.2,Active,Palantir Technologies Inc.,2020-09-30,"{'Ketu': 'Virgo 9H', 'Jupiter': 'Virgo 10H', 'Sun': 'Libra 11H'}"
2066-03-24,Ketu,Venus,Venus,8,5,5,6.4,3.9,6.0,0.0,0.4,Active,Palantir Technologies Inc.,2020-09-30,"{'Ketu': 'Cancer 8H', 'Venus': 'Aries 5H'}"
2070-12-21,Venus,Moon,Rahu,2,9,11,7.95,2.35,7.55,0.0,0.4,Active,Palantir Technologies Inc.,2020-09-30,"{'Venus': 'Capricorn 2H', 'Moon': 'Leo 9H', 'Rahu': 'Libra 11H'}"
2075-08-25,Venus,Rahu,Venus,10,8,10,6.9,3.4,6.5,0.0,0.4,Active,Palantir Technologies Inc.,2020-09-30,"{'Venus': 'Virgo 10H', 'Rahu': 'Cancer 8H'}"
2081-12-30,Venus,Saturn,Mercury,2,3,2,6.75,3.55,5.85,0.5,0.4,Active,Palantir Technologies Inc.,2020-09-30,"{'Venus': 'Capricorn 2H', 'Saturn': 'Aquarius 3H', 'Mercury': 'Capricorn 2H'}"
2086-04-14,Sun,Sun,Mars,5,5,4,10.0,1.0,8.7,2.0,0.0,Active,Palantir Technologies Inc.,2020-09-30,"{'Sun': 'Aries 5H', 'Mars': 'Pisces 4H'}"
2087-04-03,Sun,Mars,Ketu,5,8,6,7.2,3.7,6.2,1.0,0.0,Active,Palantir Technologies Inc.,2020-09-30,"{'Sun': 'Aries 5H', 'Mars': 'Cancer 8H', 'Ketu': 'Taurus 6H'}"
2089-01-13,Sun,Jupiter,Saturn,2,12,6,5.05,5.55,4.85,0.0,0.2,Active,Palantir Technologies Inc.,2020-09-30,"{'Sun': 'Capricorn 2H', 'Jupiter': 'Scorpio 12H', 'Saturn': 'Taurus 6H'}"
2090-11-27,Sun,Ketu,Sun,1,4,1,8.2,2.7,8.2,0.0,0.0,Active,Palantir Technologies Inc.,2020-09-30,"{'Sun': 'Sagittarius 1H', 'Ketu': 'Pisces 4H'}"
2092-10-25,Moon,Moon,Mercury,9,9,12,8.9,1.1,8.3,0.0,0.6,Active,Palantir Technologies Inc.,2020-09-30,"{'Moon': 'Leo 9H', 'Mercury': 'Scorpio 12H'}"
2095-02-07,Moon,Rahu,Jupiter,4,7,5,9.05,1.25,7.65,1.0,0.4,Active,Palantir Technologies Inc.,2020-09-30,"{'Moon': 'Pisces 4H', 'Rahu': 'Gemini 7H', 'Jupiter': 'Taurus 5H'}"
2098-06-25,Moon,Mercury,Venus,6,8,9,6.4,3.6,4.8,1.0,0.6,Active,Palantir Technologies Inc.,2020-09-30,"{'Moon': 'Taurus 6H', 'Mercury': 'Cancer 8H', 'Venus': 'Leo 9H'}"
2100-12-27,Moon,Venus,Jupiter,12,1,12,5.6,4.4,5.0,0.0,0.6,Active,Palantir Technologies Inc.,2020-09-30,"{'Moon': 'Scorpio 12H', 'Venus': 'Sagittarius 1H', 'Jupiter': 'Scorpio 12H'}"
2102-08-19,Mars,Mars,Rahu,10,10,2,7.6,3.3,7.6,0.0,0.0,Active,Palantir Technologies Inc.,2020-09-30,"{'Mars': 'Virgo 10H', 'Rahu': 'Aquarius 2H'}"
2104-12-21,Mars,Saturn,Ketu,2,1,7,7.95,2.95,6.95,1.0,0.0,Active,Palantir Technologies Inc.,2020-09-30,"{'Mars': 'Capricorn 2H', 'Saturn': 'Sagittarius 1H', 'Ketu': 'Gemini 7H'}"
