Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2019-03-11,2020-04-13,MD-AD,Saturn,Ketu,,Ketu,Saturn,2.75,3.42,0,0.0,0.06666666666666667,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2020-04-13,2023-05-28,MD-AD,Saturn,Venus,,Venus,Saturn,5.42,6.25,1,1.0,0.5733333333333334,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic)
2023-05-28,2024-05-04,MD-AD,Saturn,Sun,,Sun,Saturn,4.57,7.0,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in strong; challenging luminaries configuration; Sun sub-period (malefic)
2024-05-04,2025-11-25,MD-AD,Saturn,Moon,,Moon,Saturn,5.72,7.46,0,0.0,0.5733333333333334,Saturn dasha (malefic); lord in strong; balanced solar-lunar influence; Moon sub-period (benefic)
2025-11-25,2026-12-28,MD-AD,Saturn,Mars,,Mars,Saturn,3.62,2.34,3,1.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; challenging luminaries configuration; Mars sub-period (malefic)
2026-12-28,2029-10-19,MD-AD,Saturn,Rahu,,Rahu,Saturn,2.58,1.79,0,0.0,0.3,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2029-10-19,2032-04-18,MD-AD,Saturn,Jupiter,,Jupiter,Saturn,2.43,0.44,1,1.0,0.07333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2032-07-27,2034-12-11,MD-AD,Mercury,Mercury,,Mercury,Mercury,3.28,1.47,0,0.0,0.22333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2034-12-11,2035-12-03,MD-AD,Mercury,Ketu,,Ketu,Mercury,2.71,0.67,0,0.0,0.22333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2035-12-03,2038-09-18,MD-AD,Mercury,Venus,,Venus,Mercury,3.58,2.3,0,0.0,0.22333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2038-09-18,2039-07-21,MD-AD,Mercury,Sun,,Sun,Mercury,5.16,7.2,0,0.0,0.10666666666666666,Mercury dasha (benefic); lord in strong; challenging luminaries configuration; Sun sub-period (malefic)
2039-07-21,2040-12-12,MD-AD,Mercury,Moon,,Moon,Mercury,6.33,6.25,2,1.0,0.4625,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Moon sub-period (benefic)
2040-12-12,2041-12-04,MD-AD,Mercury,Mars,,Mars,Mercury,3.45,2.34,1,1.0,0.22333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic)
